"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
017000,5,,4,,91,,5,,88,,5,,87,,5,,88,,81,,794,,25,,
017009,5,,4,,91,,5,,90,,5,,88,,5,,88,,85,,290,,33,,
017013,5,,5,,93,,5,,93,,5,,90,,5,,90,,89,,261,,36,,
017014,4,,4,,89,,4,,85,,5,,90,,4,,85,,84,,125,,31,,
017016,5,,5,,92,,5,,90,,5,,92,,5,,91,,85,,204,,30,,
017018,5,,5,,92,,5,,89,,5,,89,,5,,93,,89,,311,,29,,
017020,5,,5,,92,,5,,89,,5,,90,,5,,89,,84,,348,,24,,
017024,5,,4,,90,,5,,88,,5,,88,,5,,87,,83,,470,,31,,
017025,4,,4,,88,,4,,86,,4,,85,,4,,85,,80,,313,,25,,
017026,5,,5,,92,,4,,88,,4,,85,,5,,89,,84,,284,,24,,
017027,5,,4,,90,,5,,89,,5,,87,,5,,87,,84,,647,,32,,
017028,4,,4,,90,,4,,88,,4,,86,,4,,87,,80,,84,,25,,
017034,5,,5,,91,,4,,87,,5,,87,,5,,87,,81,,323,,35,,
017035,5,,4,,90,,5,,89,,5,,87,,5,,87,,80,,643,,29,,
017037,4,,3,,86,,4,,86,,4,,83,,3,,81,,80,,342,,26,,
017039,4,,4,,87,,4,,86,,4,,86,,4,,84,,79,,323,,25,,
017048,5,,5,,94,,5,,92,,5,,91,,5,,92,,87,,172,,35,,
017050,4,11,3,11,87,11,4,11,87,11,5,11,87,11,5,11,88,11,83,11,61,11,37,11,11
017051,4,,4,,90,,4,,88,,5,,87,,4,,82,,81,,265,,23,,
017052,5,,4,,89,,5,,89,,5,,89,,4,,88,,87,,270,,39,,
017053,5,,5,,92,,5,,89,,5,,91,,5,,90,,84,,315,,33,,
017054,4,,4,,90,,4,,85,,4,,83,,4,,87,,82,,292,,26,,
017055,4,,3,,88,,4,,87,,4,,85,,4,,87,,83,,334,,31,,
017056,4,,3,,88,,4,,87,,3,,82,,4,,86,,79,,236,,25,,
017058,4,,4,,90,,4,,88,,4,,85,,5,,88,,86,,337,,33,,
017063,Not Available,9,Not Available,9,55,9,Not Available,9,71,9,Not Available,9,95,9,Not Available,9,60,9,61,9,5,9,29,9,9
017066,5,,5,,92,,5,,91,,5,,90,,5,,90,,86,,190,,33,,
017069,5,,5,,93,,5,,90,,5,,90,,5,,91,,87,,332,,35,,
017070,5,,5,,93,,5,,92,,5,,92,,5,,88,,91,,135,,27,,
017071,5,,5,,92,,5,,91,,5,,89,,5,,88,,86,,309,,32,,
017072,5,,5,,93,,5,,91,,4,,86,,5,,88,,86,,105,,28,,
017078,5,,5,,92,,5,,89,,5,,91,,5,,91,,87,,159,,30,,
017079,Not Available,11,Not Available,11,97,11,Not Available,11,97,11,Not Available,11,95,11,Not Available,11,98,11,91,11,34,11,26,11,11
017080,5,,5,,90,,4,,85,,5,,87,,5,,83,,80,,246,,23,,
017082,4,,4,,89,,3,,83,,4,,86,,4,,82,,74,,150,,20,,
017084,5,,5,,93,,5,,92,,5,,87,,5,,93,,88,,145,,26,,
017085,5,,4,,91,,5,,91,,5,,89,,5,,90,,88,,202,,30,,
017086,5,,5,,92,,5,,90,,5,,90,,5,,90,,86,,131,,31,,
017088,5,,5,,95,,5,,93,,5,,90,,5,,96,,96,,179,,41,,
017089,5,,4,,90,,4,,87,,5,,87,,5,,89,,86,,165,,31,,
017090,5,,5,,91,,5,,89,,5,,91,,5,,91,,84,,156,,26,,
017091,5,,5,,95,,4,,86,,5,,91,,5,,88,,94,,97,,45,,
017092,5,,5,,92,,5,,91,,5,,92,,5,,90,,90,,77,,31,,
017093,5,,5,,94,,5,,91,,5,,92,,5,,92,,86,,96,,26,,
017094,5,,5,,92,,5,,91,,5,,89,,5,,90,,89,,226,,34,,
017095,5,,5,,91,,5,,90,,5,,90,,4,,84,,81,,274,,29,,
017096,5,,5,,91,,4,,88,,5,,89,,4,,87,,86,,174,,29,,
017097,5,,5,,93,,5,,92,,5,,88,,5,,94,,90,,202,,36,,
017100,5,,5,,94,,5,,91,,5,,92,,5,,93,,87,,117,,38,,
017103,5,,4,,92,,5,,93,,4,,85,,5,,94,,87,,77,,30,,
017104,5,,5,,95,,5,,89,,5,,92,,5,,92,,88,,125,,38,,
017106,5,11,5,11,90,11,5,11,88,11,4,11,86,11,5,11,88,11,88,11,65,11,29,11,11
017107,5,,5,,91,,5,,88,,5,,89,,5,,86,,84,,318,,31,,
017109,Not Available,11,Not Available,11,93,11,Not Available,11,94,11,Not Available,11,86,11,Not Available,11,91,11,92,11,39,11,27,11,11
017112,5,,5,,95,,5,,91,,5,,94,,5,,94,,92,,109,,31,,
017115,5,,4,,90,,5,,88,,4,,85,,5,,86,,79,,212,,35,,
017116,5,,5,,93,,5,,90,,4,,86,,5,,93,,90,,215,,40,,
017117,5,,4,,91,,4,,88,,5,,87,,5,,84,,92,,168,,41,,
017118,4,,5,,91,,4,,86,,4,,86,,4,,85,,82,,133,,26,,
017119,4,,4,,88,,4,,86,,4,,83,,4,,84,,79,,523,,28,,
017121,5,,5,,93,,5,,92,,3,,82,,5,,90,,86,,201,,35,,
017123,5,,5,,91,,5,,90,,5,,93,,5,,91,,89,,223,,30,,
017124,5,,5,,93,,5,,93,,5,,95,,5,,90,,89,,83,,34,,
017125,5,,5,,91,,5,,89,,5,,89,,5,,89,,87,,404,,34,,
017128,5,,5,,92,,5,,91,,5,,89,,5,,91,,88,,675,,34,,
017129,4,,4,,90,,4,,87,,5,,89,,4,,85,,84,,401,,31,,
017130,5,,4,,91,,5,,92,,5,,95,,5,,89,,85,,140,,30,,
017132,4,,5,,90,,3,,86,,2,,78,,4,,85,,78,,161,,21,,
017134,5,,5,,92,,5,,92,,5,,90,,5,,90,,88,,397,,34,,
017135,Not Available,11,Not Available,11,99,11,Not Available,11,93,11,Not Available,11,92,11,Not Available,11,87,11,78,11,39,11,35,11,11
017136,5,,5,,94,,5,,92,,5,,93,,5,,91,,98,,76,,35,,
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017140,Not Available,11,Not Available,11,94,11,Not Available,11,85,11,Not Available,11,95,11,Not Available,11,94,11,85,11,38,11,38,11,11
017142,5,,5,,92,,5,,89,,3,,81,,5,,90,,85,,72,,22,,
017143,5,,4,,92,,5,,90,,5,,90,,4,,88,,79,,177,,29,,
017145,5,,5,,93,,5,,91,,5,,87,,5,,94,,88,,487,,33,,
017146,5,11,5,11,95,11,5,11,95,11,5,11,95,11,5,11,90,11,94,11,47,11,27,11,11
017147,5,,5,,93,,5,,91,,5,,93,,5,,91,,84,,117,,33,,
017148,4,,4,,89,,4,,88,,4,,86,,4,,88,,82,,422,,31,,
017149,5,,5,,91,,4,,86,,4,,86,,5,,89,,82,,457,,29,,
017151,5,,5,,92,,4,,89,,5,,88,,5,,91,,84,,217,,33,,
017152,5,,5,,92,,5,,92,,5,,91,,5,,91,,92,,119,,32,,
017153,4,,4,,91,,4,,87,,5,,88,,4,,87,,84,,680,,40,,
017154,4,,4,,89,,5,,90,,4,,84,,4,,87,,78,,118,,27,,
017155,4,,4,,89,,3,,84,,5,,87,,4,,87,,78,,86,,25,,
017156,5,11,5,11,91,11,5,11,90,11,4,11,83,11,4,11,86,11,83,11,53,11,35,11,11
017157,4,,4,,88,,3,,85,,5,,88,,4,,84,,86,,149,,26,,
017158,5,,5,,92,,5,,89,,5,,90,,5,,87,,84,,250,,28,,
017159,5,,5,,91,,5,,88,,5,,89,,5,,85,,83,,349,,29,,
017160,5,,5,,93,,5,,91,,5,,92,,5,,89,,84,,153,,27,,
017161,4,,4,,89,,5,,88,,3,,82,,4,,87,,85,,295,,26,,
017163,4,,4,,90,,4,,87,,4,,85,,4,,90,,84,,134,,27,,
017164,5,,4,,90,,5,,91,,5,,88,,4,,84,,83,,314,,32,,
017165,5,,5,,92,,5,,92,,4,,86,,5,,89,,88,,312,,29,,
017166,5,,5,,90,,5,,90,,5,,87,,5,,91,,87,,122,,28,,
017167,5,,4,,91,,5,,91,,5,,88,,5,,88,,86,,100,,26,,
017168,5,,4,,90,,5,,90,,5,,91,,5,,89,,84,,329,,30,,
017170,5,,5,,92,,5,,91,,4,,86,,5,,91,,82,,278,,34,,
017171,5,,4,,89,,4,,88,,5,,90,,5,,89,,82,,223,,31,,
017172,5,,5,,93,,5,,90,,4,,86,,5,,92,,89,,302,,43,,
017175,3,,2,,81,,3,,81,,3,,80,,2,,76,,73,,160,,25,,
017176,4,,4,,88,,3,,82,,4,,83,,3,,78,,81,,227,,40,,
017177,5,,5,,94,,5,,91,,5,,88,,5,,91,,89,,136,,38,,
017178,5,,5,,91,,4,,87,,4,,85,,5,,87,,83,,226,,32,,
017179,4,,4,,89,,4,,87,,4,,86,,5,,89,,86,,172,,24,,
017180,3,,3,,88,,2,,82,,4,,85,,4,,82,,77,,151,,22,,
017182,4,,4,,89,,5,,89,,3,,82,,5,,89,,79,,143,,22,,
017300,5,,5,,94,,5,,90,,5,,91,,5,,91,,88,,293,,29,,
017305,5,,5,,92,,5,,89,,5,,87,,5,,92,,85,,311,,32,,
017307,5,,5,,93,,5,,92,,4,,86,,5,,88,,89,,179,,29,,
017319,5,,5,,91,,5,,88,,4,,83,,5,,88,,83,,401,,24,,
017320,5,,5,,92,,5,,88,,5,,91,,5,,91,,86,,311,,27,,
017323,4,,4,,90,,4,,87,,5,,88,,4,,84,,88,,156,,38,,
017324,5,,5,,93,,5,,90,,5,,89,,5,,87,,87,,326,,31,,
017326,5,,5,,91,,5,,89,,5,,90,,5,,90,,86,,370,,32,,
017327,5,,5,,93,,5,,91,,5,,93,,5,,91,,87,,158,,33,,
017328,5,,5,,93,,5,,93,,5,,92,,5,,92,,90,,159,,31,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017876,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,5,,5,,93,,5,,92,,5,,92,,5,,93,,88,,108,,44,,
017879,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027001,4,,4,,88,,3,,83,,3,,81,,4,,85,,80,,152,,27,,
027002,Not Available,11,Not Available,11,96,11,Not Available,11,86,11,Not Available,11,92,11,Not Available,11,95,11,97,11,28,11,22,11,11
027006,4,11,3,11,85,11,5,11,88,11,4,11,83,11,5,11,88,11,83,11,43,11,19,11,11
027007,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027008,4,,4,,87,,4,,85,,2,,76,,4,,86,,78,,152,,24,,
027009,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027010,Not Available,11,Not Available,11,90,11,Not Available,11,91,11,Not Available,11,86,11,Not Available,11,96,11,81,11,36,11,31,11,11
027014,Not Available,11,Not Available,11,91,11,Not Available,11,91,11,Not Available,11,91,11,Not Available,11,89,11,98,11,27,11,22,11,11
027020,4,11,5,11,91,11,4,11,85,11,3,11,80,11,5,11,94,11,81,11,44,11,15,11,11
027022,2,,2,,78,,2,,75,,2,,73,,2,,64,,57,,81,,18,,
027032,Not Available,11,Not Available,11,86,11,Not Available,11,76,11,Not Available,11,92,11,Not Available,11,74,11,79,11,23,11,21,11,11
027034,5,11,5,11,90,11,4,11,84,11,5,11,88,11,5,11,90,11,81,11,66,11,26,11,11
027035,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027036,Not Available,11,Not Available,11,69,11,Not Available,11,73,11,Not Available,11,54,11,Not Available,11,77,11,62,11,23,11,13,11,11
027037,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037015,4,,4,,89,,4,,85,,3,,81,,4,,84,,77,,1479,,27,,
037016,3,,3,,86,,3,,83,,2,,73,,2,,78,,72,,265,,21,,
037020,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037024,5,,5,,91,,5,,90,,3,,82,,5,,90,,84,,233,,28,,
037027,4,,4,,90,,4,,86,,3,,80,,5,,86,,87,,98,,20,,
037030,5,,5,,92,,5,,91,,3,,80,,5,,87,,85,,224,,30,,
037036,4,,5,,92,,4,,88,,4,,85,,4,,87,,83,,255,,32,,
037037,5,,5,,92,,5,,92,,3,,82,,5,,88,,83,,327,,36,,
037042,3,,3,,84,,3,,84,,3,,80,,3,,83,,79,,130,,29,,
037047,2,,2,,80,,2,,74,,3,,79,,2,,74,,69,,75,,25,,
037050,4,,4,,90,,5,,89,,4,,85,,4,,84,,83,,165,,34,,
037057,5,,4,,90,,5,,90,,5,,89,,5,,92,,90,,111,,44,,
037068,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037070,3,,3,,87,,2,,83,,3,,81,,3,,82,,80,,292,,30,,
037099,4,,4,,88,,4,,84,,3,,82,,4,,83,,76,,98,,23,,
037101,Not Available,11,Not Available,11,92,11,Not Available,11,71,11,Not Available,11,80,11,Not Available,11,65,11,65,11,21,11,19,11,11
037106,4,,4,,89,,3,,84,,4,,83,,4,,89,,76,,124,,28,,
037112,4,,4,,87,,4,,87,,3,,81,,5,,89,,82,,144,,29,,
037114,5,,5,,94,,5,,92,,5,,89,,5,,95,,90,,151,,36,,
037118,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037125,Not Available,11,Not Available,11,91,11,Not Available,11,93,11,Not Available,11,85,11,Not Available,11,79,11,81,11,25,11,18,11,11
037129,4,,3,,88,,2,,81,,4,,84,,5,,86,,77,,70,,30,,
037130,4,,4,,90,,4,,88,,4,,85,,5,,87,,85,,279,,32,,
037132,3,,2,,83,,2,,80,,3,,79,,3,,79,,70,,320,,15,,
037139,3,,4,,86,,3,,83,,2,,78,,3,,79,,78,,178,,36,,
037144,5,,4,,90,,4,,89,,5,,91,,5,,94,,92,,98,,33,,
037146,4,,4,,88,,4,,84,,3,,81,,4,,80,,79,,97,,30,,
037154,5,,5,,93,,5,,91,,5,,88,,5,,88,,85,,130,,42,,
037162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037179,Not Available,11,Not Available,11,92,11,Not Available,11,95,11,Not Available,11,94,11,Not Available,11,97,11,92,11,31,11,21,11,11
037185,4,,4,,88,,4,,87,,2,,71,,5,,86,,73,,95,,22,,
037188,5,,5,,94,,5,,91,,4,,85,,5,,89,,94,,108,,25,,
037192,4,,4,,89,,4,,87,,5,,87,,4,,85,,80,,275,,31,,
037199,5,,5,,92,,5,,90,,4,,86,,5,,90,,87,,319,,31,,
037202,3,,3,,86,,2,,80,,3,,82,,2,,77,,70,,188,,28,,
037204,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037205,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037212,3,11,3,11,83,11,4,11,83,11,3,11,80,11,2,11,76,11,70,11,60,11,32,11,11
037213,4,,4,,89,,4,,87,,2,,75,,4,,84,,83,,305,,31,,
037215,5,11,5,11,92,11,5,11,92,11,5,11,87,11,5,11,84,11,71,11,67,11,23,11,11
037216,Not Available,11,Not Available,11,91,11,Not Available,11,87,11,Not Available,11,79,11,Not Available,11,86,11,94,11,14,11,34,11,11
037217,4,,5,,90,,4,,86,,4,,86,,4,,84,,83,,491,,36,,
037220,3,,3,,84,,2,,80,,3,,81,,2,,76,,67,,203,,23,,
037221,4,,4,,89,,4,,87,,4,,84,,4,,85,,83,,232,,28,,
037224,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037226,4,,4,,88,,3,,82,,3,,79,,4,,87,,74,,173,,23,,
037228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037229,Not Available,9,Not Available,9,94,9,Not Available,9,63,9,Not Available,9,75,9,Not Available,9,53,9,76,9,10,9,17,9,9
037230,Not Available,11,Not Available,11,80,11,Not Available,11,88,11,Not Available,11,71,11,Not Available,11,58,11,82,11,12,11,29,11,11
037231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037232,2,,2,,82,,2,,78,,2,,78,,3,,80,,64,,103,,19,,
037233,Not Available,11,Not Available,11,93,11,Not Available,11,99,11,Not Available,11,77,11,Not Available,11,96,11,100,11,13,11,54,11,11
037234,4,,4,,88,,4,,85,,2,,76,,4,,83,,79,,576,,27,,
037235,2,,2,,81,,2,,80,,2,,72,,2,,72,,67,,195,,17,,
037237,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,75,9,Not Available,9,100,9,100,9,2,9,6,9,9
037239,2,,2,,84,,2,,79,,2,,77,,3,,80,,68,,80,,14,,
037242,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037243,Not Available,9,Not Available,9,95,9,Not Available,9,94,9,Not Available,9,100,9,Not Available,9,100,9,28,9,4,9,12,9,9
037245,3,,4,,89,,3,,82,,2,,72,,4,,85,,77,,179,,31,,
037246,3,,2,,82,,4,,82,,2,,74,,4,,79,,64,,83,,32,,
037247,4,,4,,90,,4,,87,,4,,86,,5,,91,,84,,302,,36,,
037248,3,,3,,84,,3,,82,,3,,80,,3,,77,,68,,194,,27,,
037249,3,,3,,86,,2,,81,,4,,83,,3,,81,,69,,258,,26,,
037250,2,,2,,80,,2,,75,,2,,76,,3,,80,,62,,72,,21,,
037251,Not Available,9,Not Available,9,94,9,Not Available,9,86,9,Not Available,9,88,9,Not Available,9,76,9,88,9,9,9,15,9,9
037252,4,,3,,86,,4,,84,,4,,84,,4,,85,,79,,171,,27,,
037253,3,,3,,87,,2,,83,,3,,82,,3,,85,,76,,83,,11,,
037254,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037257,Not Available,11,Not Available,11,81,11,Not Available,11,85,11,Not Available,11,80,11,Not Available,11,72,11,65,11,29,11,9,11,11
037258,2,,2,,81,,2,,79,,2,,75,,2,,69,,61,,117,,15,,
037260,4,,4,,89,,3,,85,,3,,80,,4,,84,,83,,372,,27,,
037261,2,11,3,11,83,11,1,11,73,11,2,11,73,11,2,11,71,11,66,11,68,11,24,11,11
037262,3,,3,,85,,3,,84,,3,,79,,4,,81,,71,,308,,25,,
037263,Not Available,9,Not Available,9,98,9,Not Available,9,91,9,Not Available,9,88,9,Not Available,9,92,9,85,9,9,9,18,9,9
037264,4,,4,,91,,3,,86,,3,,81,,4,,84,,85,,158,,34,,
037265,2,11,2,11,82,11,2,11,81,11,2,11,72,11,2,11,72,11,70,11,56,11,30,11,11
037269,3,,2,,82,,3,,82,,3,,79,,2,,74,,67,,70,,17,,
037271,3,,3,,86,,3,,84,,3,,81,,3,,79,,75,,391,,16,,
037272,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037273,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037274,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037275,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037280,4,,4,,87,,5,,89,,3,,82,,3,,80,,78,,258,,34,,
037281,5,,4,,91,,5,,90,,4,,84,,5,,91,,82,,249,,33,,
037282,3,,2,,85,,3,,83,,3,,81,,4,,83,,74,,85,,26,,
037283,4,,4,,89,,3,,82,,3,,82,,4,,82,,81,,265,,22,,
037285,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037286,Not Available,11,Not Available,11,86,11,Not Available,11,83,11,Not Available,11,83,11,Not Available,11,89,11,56,11,11,11,19,11,11
037288,2,,2,,82,,1,,76,,1,,68,,2,,75,,62,,309,,26,,
037290,3,11,2,11,81,11,3,11,81,11,4,11,85,11,3,11,78,11,78,11,52,11,20,11,11
037291,Not Available,9,Not Available,9,96,9,Not Available,9,86,9,Not Available,9,90,9,Not Available,9,73,9,84,9,10,9,25,9,9
037294,4,,5,,92,,5,,91,,3,,82,,4,,84,,78,,92,,33,,
037295,1,,1,,74,,1,,73,,1,,64,,1,,68,,54,,135,,18,,
037297,4,11,5,11,92,11,2,11,80,11,5,11,87,11,3,11,84,11,85,11,51,11,17,11,11
037298,5,,5,,92,,5,,89,,3,,80,,5,,93,,84,,210,,33,,
037299,Not Available,11,Not Available,11,95,11,Not Available,11,97,11,Not Available,11,68,11,Not Available,11,98,11,91,11,38,11,30,11,11
037402,4,,4,,90,,4,,87,,3,,81,,4,,83,,79,,332,,33,,
037403,3,,3,,87,,3,,82,,4,,86,,2,,80,,79,,123,,27,,
037404,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037405,2,,2,,80,,2,,78,,2,,71,,2,,72,,61,,98,,18,,
037406,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037410,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037411,4,,4,,91,,4,,88,,2,,76,,4,,87,,80,,172,,24,,
037412,5,,4,,90,,5,,92,,5,,92,,5,,84,,78,,70,,26,,
037413,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037414,3,,4,,88,,3,,85,,1,,59,,4,,83,,74,,211,,22,,
037416,5,,4,,90,,5,,89,,4,,83,,5,,85,,84,,254,,35,,
037417,Not Available,11,Not Available,11,87,11,Not Available,11,77,11,Not Available,11,81,11,Not Available,11,58,11,69,11,23,11,17,11,11
037418,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037419,Not Available,11,Not Available,11,86,11,Not Available,11,88,11,Not Available,11,92,11,Not Available,11,73,11,59,11,28,11,27,11,11
037421,3,,3,,85,,3,,82,,2,,72,,3,,78,,72,,235,,17,,
037422,3,,3,,84,,3,,83,,2,,75,,3,,74,,74,,122,,15,,
037423,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037424,Not Available,11,Not Available,11,67,11,Not Available,11,52,11,Not Available,11,56,11,Not Available,11,26,11,31,11,12,11,29,11,11
037425,2,11,2,11,78,11,2,11,81,11,1,11,64,11,1,11,69,11,53,11,63,11,19,11,11
037426,2,11,3,11,84,11,2,11,81,11,1,11,64,11,2,11,73,11,72,11,64,11,20,11,11
037431,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037432,3,11,2,11,79,11,3,11,84,11,2,11,75,11,3,11,75,11,70,11,42,11,15,11,11
037433,4,,4,,89,,4,,87,,4,,84,,4,,87,,82,,241,,26,,
037434,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037436,Not Available,11,Not Available,11,94,11,Not Available,11,93,11,Not Available,11,86,11,Not Available,11,85,11,77,11,11,11,10,11,11
037437,2,,2,,81,,2,,80,,2,,78,,2,,72,,64,,136,,22,,
037438,3,,3,,84,,3,,80,,2,,74,,4,,86,,81,,105,,29,,
037439,2,,2,,83,,2,,82,,2,,78,,2,,74,,78,,96,,25,,
037440,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037441,3,,2,,85,,3,,86,,3,,79,,3,,81,,77,,94,,19,,
037442,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
